variables,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
mean,0.0398558172169977,-0.0917480487624324,-0.0711077718558225,0.0332090336161693,-0.0591926686554634,-0.188839455657548,-4.36284264802298,-0.184220359206713,-295.503913081323,-610.657110885378,228.286742294055,-708.529923611168,-197.631100355542,-0.117990063592481,-2.01120780618667,-0.0892127492901185,-312.330454853046,16.3614840394505,260.672569591161,-301.170118204096,5.20114739049418,0.770029836896876,1.19835395100788,0.00837380170346134,14.4238093006498,105.819712625561,61.6199941710325,0.174276184631813,120.06924574157,0.354203270095104,0.295438318181662,0.0810159749443844,162.657509008734,-111.020591878815,-21.7998906867322,58.4827999199446,-6.84588279003058,-1.61583181225622,-1.00621023558514,-0.126329468942274,27.707210069146,-101.93622823505,69.2536116615825,-62.01758721041,-12.2114309554959,-0.82735897053274
std,3.30191705806906,0.332846910085961,0.403615189202534,0.402286190996141,0.320252140202229,0.93813827939597,29.3920406761332,2.36376027608486,6328.49654591347,4585.78232133651,2734.49879562245,3070.47932782402,6888.44021434602,4.0844029099426,15.9537484794558,1.94989483623203,2409.30091267874,1719.92966647625,1421.00453977107,1160.67595903699,2645.15918874292,4.54946006225794,17.1659065088169,1.80956583509312,1865.05323218557,1395.24860712516,891.750250550556,1201.41966862587,1930.90315544582,4.97066502520108,19.1122421635122,1.93156537138527,1552.07375883447,1395.08300618342,700.076634375955,1545.84930274074,1507.67423282923,6.00589212571545,18.7660227834834,1.65171992597725,1571.76576212569,1664.12325201526,601.385403861262,1531.30872791254,1715.47443316732,11.2420758367897
lower_bound,-8.87532023956946,-1.62284383515785,-1.40303789622418,-1.45524987306955,-1.72450379770706,-4.59808936881861,-80.7821484059694,-6.56637310463584,-19280.9935508217,-14368.0040748949,-15631.8062723161,-12683.3993021248,-29129.0800006088,-23.8075269412596,-45.0863287007173,-7.10883415972543,-9467.67392303227,-7035.35014851318,-7128.55103721838,-4711.73876254468,-11104.4674453298,-18.3377024245865,-69.1818627351414,-4.87745395304797,-6140.25185691172,-6312.32388015018,-3862.08110825141,-5526.35619949438,-6638.0917983188,-18.0372573231489,-97.1769967157306,-8.22471512201227,-6356.05227809604,-8621.02692959766,-5902.44361944476,-6434.08427159117,-8600.58900991662,-23.2370434648318,-46.0446649159452,-3.5949413134945,-3587.35404281993,-3763.00738266861,-3057.95048841698,-4043.42027978301,-3957.80262724034,-35.6777940645809
upper_bound,20.8419332830521,1.40606304662439,1.18009931467203,1.92395413129803,1.38194196225457,3.84515514574512,139.65815666503,18.7258618494722,52863.8670725918,14522.4245495251,10619.3821656594,11266.3394549025,43199.5422500244,10.093017211264,61.8037861116365,13.7550405879573,10288.5935609334,6896.08014994445,6655.19299856096,3412.99295071429,12966.4811722308,13.5085180112191,97.3274304003825,11.4086385627901,9712.70061666559,8058.73677323897,4074.49612164853,7328.83425480246,11512.3978628719,16.7573978532587,134.081133462767,12.6361908889486,12579.2475796845,9236.03554955009,2708.49898337949,16753.6552695199,6023.85104852687,15.8012553523186,113.466528743663,10.1143340721167,11344.4206973741,11713.3388610733,2595.07230787888,11575.9287449249,12339.2044878492,64.3766808828478
exclusion_%,71.1603556438146,3.71440176919258,26.2084217177416,12.2105880760031,2.46874576883152,7.11061966872772,63.5532788734937,44.7510944622467,37.5186171413097,62.8176197138602,27.4405379789683,57.4694227557882,41.9867310556483,15.2299499029652,70.2170871507876,42.3184546644401,52.7553369138421,51.7940154353026,17.7686509906576,61.0800198582841,51.2998149568985,16.3650313670623,43.9071173895383,49.7111522318003,41.2758947510945,31.9786072121677,23.0017601660875,21.591370672925,43.4873854763732,20.3727941508327,20.1900076725188,38.3851604459087,15.1261452362684,12.3798348151826,8.27729385747168,6.65929503091574,31.6694498352665,19.7838154984881,48.8423523040123,50.1083179130749,37.6291916775737,42.0747393600217,2.29949902965203,34.3954506476509,40.4409441711423,7.29114952385251
