variables,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,Diaphyseal Bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
mean,0.546923076923076,-0.0550218506172329,-0.114953874279714,-0.146880735238807,-0.0563351015125543,-0.373191561648304,-2.71317242649472,-0.206812825206307,-335.921363608874,56.3557714771297,203.631524608432,-589.94350601646,310.377913884745,-0.470569346099567,6.44956700163373,0.420467012685996,85.1183125996006,974.862176508913,-161.211647021648,724.166252410412,335.814236698102,4.05507138145315,5.18498351766637,0.296787288824385,-124.719780221696,884.845584962562,87.7306614265909,484.162241250543,275.963563490318,6.56443180119745,3.55515788001014,0.116078634310607,-177.551803746784,648.799812610164,-212.615243788798,454.42522739047,16.8227814729046,4.84948602519463,3.45684969893836,0.250091775794564,-26.0098677154241,841.213252808045,-301.546698104234,163.480239020767,651.723146071886,0.515459769653602
std,3.42847215269063,0.424824574897039,0.498639974911606,0.375663530313657,0.297246336074179,1.11855941115882,60.4201287780038,4.81779403394113,8933.4858665307,14095.6817751636,5090.41966203123,7183.75287962433,15407.885794611,12.2084672611478,19.2978867517279,1.53340763537546,1888.27973852846,2611.24190230501,1146.26892800198,2127.84909461783,2200.76102231029,17.5768026973059,18.089215193914,1.62327208706028,1953.35540819901,2258.70032139169,1013.76594454634,1744.33761181409,2252.54530481515,19.8586910397567,20.0291042174343,1.63493345501253,2153.04554282526,2444.05080633326,934.354237977906,2037.54886428048,2505.31987429356,16.0652237337138,29.392066208008,1.93257024347937,4049.68926419223,5593.08712245881,1857.31440683052,3941.86936381051,5705.64887805278,3.98069471562058
lower_bound,-9.73849338114882,-2.51900438502006,-2.45856175636426,-1.31143767921114,-0.799450941698002,-4.95928514739945,-353.149919338917,-21.4051065745473,-46790.0478695685,-59145.5076842101,-23212.2989207352,-33635.2067522884,-72106.6853207869,-56.6295187473796,-68.8121913301052,-5.40648200174074,-5202.06495528009,-12081.3473350161,-4746.28735902958,-6723.305578752,-10447.9147726223,-80.3135815656154,-63.554034219207,-5.22233780718055,-8328.81249465755,-10860.3960862742,-3156.32036112171,-5446.58563891736,-7833.19953384423,-76.8420705657808,-66.5467068810099,-5.442695112732,-8359.12486648279,-11082.6440577895,-3482.85507671147,-6065.73113830707,-9002.32876598393,-56.1983641629179,-137.6250680995,-6.70716110073118,-26753.9590113842,-36073.1617554201,-5687.75847791275,-25852.8575621286,-37005.5594490764,-25.7571253534422
upper_bound,10.832339534995,1.00703958662536,1.53055804292858,0.942543502670798,0.865128540317401,3.65362231852343,299.387471463524,22.9185985377111,55051.6910088815,81811.3100674262,22092.4360713427,41075.8231958047,83512.961204784,42.2590660679179,68.2028046071631,4.71400839173727,7449.4092928606,9330.83626388494,4309.23717218608,8384.42299303461,7158.17340586,88.4237243285217,54.0258645412343,5.32893075871124,7298.03077093455,8564.42667769431,4852.43060079441,6240.47636023704,7484.10853889881,76.069850440346,63.642470532313,5.18437234484945,7358.10759614164,9447.3827154099,2403.57662254934,9419.64023022459,8785.44234150038,77.1429928269069,79.8762218397592,5.081517384493,11313.1200720228,16501.8571956927,9170.75677673143,11200.7144576902,16627.5400046197,11.6614049733912
exclusion_%,81.7764793316419,16.8550267804516,18.2747751210886,30.217062607314,21.3295405038313,21.1834653135491,18.9231439481305,25.5913482483791,10.2970195535737,15.1251890007944,4.30281130673227,17.4957074395838,13.3517849363163,2.48840368006971,58.5223341277774,60.3316163091669,60.0189641475103,34.189282693934,7.93418928269393,47.1925373516824,47.9818559237334,0.527920863124984,64.3602162937905,61.5668486199739,52.0617103610876,35.2681889239128,5.9019502319264,53.8735552651137,54.1759565362241,2.52171907434458,64.7471874119064,62.3228517977499,56.3107044924528,44.5093667512365,21.1629635324569,52.223161887189,54.3732861792368,5.6636170267292,61.6616693575254,66.4232080161964,44.7810153507086,48.1381820045616,19.9969247328362,44.2684708234028,48.6045975244099,10.6968042848722
